Date,Return,Change Point Flag
1995-01-04,0.0034850169993372315,0
1995-01-05,-0.0008030976624121555,0
1995-01-06,0.00073857657512999,0
1995-01-09,0.00032559238271478996,0
1995-01-10,0.001844511269412319,0
1995-01-11,-4.329625279198002e-05,0
1995-01-12,-4.3298127438640144e-05,0
1995-01-13,0.009379573769321414,0
1995-01-16,0.007318075526699497,0
1995-01-17,0.0014273784634766251,0
1995-01-18,-0.0007233195334969134,0
1995-01-19,-0.005875921948130025,0
1995-01-20,-0.004647207133538389,0
1995-01-23,0.002237636188418879,0
1995-01-24,8.582290737879639e-05,0
1995-01-25,0.0033916136597380575,0
1995-01-26,0.001882604993616921,0
1995-01-27,0.004420070233697393,0
1995-01-30,-0.003996693858855815,0
1995-01-31,0.004076761696222508,0
1995-02-01,-4.2556716718156196e-05,0
1995-02-02,0.005080813519235283,0
1995-02-03,0.012394477983148189,0
1995-02-06,0.0052021744149266524,0
1995-02-07,-0.0006859065548412424,0
1995-02-08,0.0007903431391651505,0
1995-02-09,-0.0020781811652909044,0
1995-02-10,0.0026447635461275265,0
1995-02-13,0.0003946380691612905,0
1995-02-14,0.0018685641189435387,0
1995-02-15,0.004123968090963714,0
1995-02-16,0.0014033777681707882,0
1995-02-17,-0.006697992646271245,0
1995-02-21,0.00155611344710338,0
1995-02-22,0.004868259234282579,0
1995-02-23,0.0037932593442346896,0
1995-02-24,0.002464483539931228,0
1995-02-27,-0.008809464919820598,0
1995-02-28,0.00739963437694402,0
1995-03-01,-0.0035700787863046646,0
1995-03-02,-0.0010707073411035939,0
1995-03-03,0.0005977955228555487,0
1995-03-06,0.0004325974398857735,0
1995-03-07,-0.007227744847586148,0
1995-03-08,0.0021156963859216837,0
1995-03-09,4.13731280080043e-05,0
1995-03-10,0.013266834203006894,0
1995-03-13,0.0009804123242218576,0
1995-03-14,0.005795381953296985,0
1995-03-15,-0.0020491585051594097,0
1995-03-16,0.007176544572365495,0
1995-03-17,0.00022200874174815866,0
1995-03-20,0.0012512626100105173,0
1995-03-21,-0.0021566640315777708,0
1995-03-22,0.001211962135938327,0
1995-03-23,0.0005648894863754528,0
1995-03-24,0.01012196570241497,0
1995-03-27,0.004451386272420033,0
1995-03-28,0.001391060557377699,0
1995-03-29,-0.001547923772067139,0
1995-03-30,-0.0017888255390738905,0
1995-03-31,-0.0030066699095112615,0
1995-04-03,0.0022767962850602785,0
1995-04-04,0.006754974772601896,0
1995-04-05,0.0006531887740925946,0
1995-04-06,0.001008721325748807,0
1995-04-07,0.0006718836241119686,0
1995-04-10,0.0011650336129040983,0
1995-04-11,-0.0029190961870995125,0
1995-04-12,0.0032441490166708054,0
1995-04-13,0.0040617495199906095,0
1995-04-17,-0.006087634343292625,0
1995-04-18,-0.0015016097806748174,0
1995-04-19,-0.0008904004863778958,0
1995-04-20,0.0007327796628138206,0
1995-04-21,0.0063329605480781925,0
1995-04-24,0.008653119035901602,0
1995-04-25,-0.001540367408091492,0
1995-04-26,0.00109353170336135,0
1995-04-27,0.0017360720459183021,0
1995-04-28,0.0022588534850771502,0
1995-05-01,-0.0008743023990606114,0
1995-05-02,0.0011666775066001556,0
1995-05-03,0.010915579530520247,0
1995-05-04,0.00011527351837758992,0
1995-05-05,-0.0008068216234761172,0
1995-05-08,0.00738296333830335,0
1995-05-09,-0.0007634636179998378,0
1995-05-10,0.0015279773028862298,0
1995-05-11,1.90894917702078e-05,0
1995-05-12,0.0022503054842364367,0
1995-05-15,0.004167067818996895,0
1995-05-16,0.0008527157603337443,0
1995-05-17,-0.0021204398265977087,0
1995-05-18,-0.014210617432776185,0
1995-05-19,-0.0007506344270550303,0
1995-05-22,0.008590346408219984,0
1995-05-23,0.009433786328824967,0
1995-05-24,3.775798838367983e-05,0
1995-05-25,-3.775656277182904e-05,0
1995-05-26,-0.009345621730311171,0
1995-05-30,-0.00013369105500771195,0
1995-05-31,0.018755504418981106,0
1995-06-01,0.00016866482226229884,0
1995-06-02,-0.0018369238161702883,0
1995-06-05,0.005802643637952354,0
1995-06-06,-9.333046162685044e-05,0
1995-06-07,-0.004518687266018118,0
1995-06-08,-0.0014631127299736812,0
1995-06-09,-0.0082839736015341,0
1995-06-12,0.005568819236675626,0
1995-06-13,0.00973851503655232,0
1995-06-14,0.000783477137804578,0
1995-06-15,0.0012116697104416208,0
1995-06-16,0.005045468419147214,0
1995-06-19,0.009984538544814292,0
1995-06-20,-0.00044017139369545433,0
1995-06-21,-0.0018349297879527438,0
1995-06-22,0.013033617247015572,0
1995-06-23,-0.0024678994201953186,0
1995-06-26,-0.010150837472126972,0
1995-06-27,-0.0031242758013269034,0
1995-06-28,0.004240156009115648,0
1995-06-29,-0.001578736956652338,0
1995-06-30,0.0016180427137240105,0
1995-07-03,0.004295597715408439,0
1995-07-05,0.0003107037266485424,0
1995-07-06,0.012297592275438252,0
1995-07-07,0.004296115317544924,0
1995-07-10,0.001473852528740327,0
1995-07-11,-0.004325226823833184,0
1995-07-12,0.0110133476853993,0
1995-07-13,0.00019609076412496762,0
1995-07-14,-0.0019785835143716346,0
1995-07-17,0.005054485667983277,0
1995-07-18,-0.007570281760474695,0
1995-07-19,-0.013394050083449849,0
1995-07-20,0.004646262385823663,0
1995-07-21,0.00014455521375156266,0
1995-07-24,0.005436959994531643,0
1995-07-25,0.008030416369785964,0
1995-07-26,0.0009089463336591219,0
1995-07-27,0.006427922305018541,0
1995-07-28,-0.004051481097695597,0
1995-07-31,-0.0015454765752525024,0
1995-08-01,-0.004305559763491229,0
1995-08-02,-0.00150101285376536,0
